title,author,genre_id,genre,ISBN,description_aladin,description_naver,salesPoint,mallType
역사 ⓔ 3 - 세상을 깨우는 시대의 기록,EBS 역사채널ⓔ (지은이),52593,국내도서>역사>한국사 일반,9788956058092,"'역사ⓔ' 시리즈는 2011년 10월부터 기획편성된 프로그램인 [역사채널ⓔ]의 내용들을 간추려 모은 책이다. &lt;역사ⓔ 3&gt;은 &lt;역사ⓔ 1, 2&gt;의 포맷에 따라 [역사채널ⓔ]의 방송 스크립트를 바탕으로, 해당 주제에 대한 해설을 추가로 더해 내용의 밀도를 더했다.",,1926,BOOK
"해커스 토익 실전 1000제 리스닝 1 문제집 (해설집 별매) - 최신경향 완벽반영 개정판, 온라인 토익 모의고사 무료 제공",해커스어학연구소 편집부 (엮은이),49855,국내도서>외국어>토익>Listening,9788965420439,"실제 시험의 출제 경향과 난이도를 그대로 반영한 문제와 지문으로 구성하였으며, 학원 수업/동영상강의/스터디그룹를 통해 학습하는 학습자 뿐만 아니라 혼자 공부하는 사람 모두에게 적합한 교재다.",,10620,BOOK
허삼관 매혈기,"위화 (지은이), 최용만 (옮긴이)",50923,국내도서>소설/시/희곡>중국소설,9788971847244,"한평생 피를 팔아 가족을 위기에서 구해낸 속 깊은 아버지 허삼관의 이야기. 중국 제3세대 소설가 위화가 1995년에 발표한 장편소설로, 중국을 넘어 세계 문단의 극찬을 받았다. 살아가기 위해 그야말로 목숨 건 매혈 여로를 걷는 한 남자의 고단한 삶이 희비극이 교차하는 구조를 통해 보여주는 소설이다.",,18381,BOOK
어떻게 공부할 것인가 - 최신 인지심리학이 밝혀낸 성공적인 학습의 과학,"헨리 뢰디거, 마크 맥대니얼, 피터 브라운 (지은이), 김아영 (옮긴이)",51520,국내도서>인문학>심리학/정신분석학>뇌과학/인지심리학,9788937834868,"125년의 학습 연구, 40년의 인지심리학 연구 성과, 11인의 학자가 10년간 수행한 ‘교육현장 개선을 위한 인지심리학의 응용’ 연구를 집대성한 하버드대학교 출간 교육학 명저! 자기주도학습은 틀렸다. 최고의 선수는 훌륭한 코치의 도움을 받는다.",,9756,BOOK
데스 큐어,"제임스 대시너 (지은이), 공보경 (옮긴이)",107436,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,9788983925251,'메이즈 러너'는 과거의 기억을 삭제당한 채 거대한 미로 속에 감금된 소년들의 생존과 탈출을 그린 3부작 시리즈다. 대망의 완결편이자 제3권인 &lt;데스 큐어&gt;에서는 소년들을 의문의 실험 속에 몰아넣었던 '사악'의 존재가 차츰 드러나며 퍼즐이 맞춰진다.,,7765,BOOK
"해커스 토익 실전 1000제 리딩 1 문제집 (해설집 별매) - 최신경향 완벽반영 개정판, 온라인 토익 모의고사 무료 제공",해커스어학연구소 편집부 (엮은이),49854,국내도서>외국어>토익>Reading,9788965420408,"실제 시험의 출제 경향과 난이도를 그대로 반영한 문제와 지문으로 구성하였으며, 학원 수업/동영상강의/스터디그룹를 통해 학습하는 학습자 뿐만 아니라 혼자 공부하는 사람 모두에게 적합한 교재다.",,12445,BOOK
메이즈 러너,"제임스 대시너 (지은이), 공보경 (옮긴이)",107436,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,9788983924469,"과거의 기억을 삭제당한 채 거대한 미로 속에 감금된 소년들의 생존과 탈출을 그린 소설. 국내에 처음 소개되는 제임스 대시너는 여러 편의 청소년소설 시리즈를 발표하며 베스트셀러를 기록해온 작가다. 마침내 이 소설로 전 세계적으로 두각을 나타내며 반스앤노블 선정 최고의 신인작가상, 켄터키 블루그래스 어워드를 수상했고, 영화계에서까지 뜨거운 러브콜을 받는 대형 작가로 발돋움했다.",,8359,BOOK
코믹 메이플 스토리 오프라인 RPG 75,"송도수 (글), 서정은 (그림)",49995,국내도서>어린이>TV/만화/영화>만화 일반,9788926397558,"2004년 4월에 1권을 출간하여 지금까지, '8년 연속 초특급 베스트셀러', '1200만부 돌파'를 기록하며 독자들의 꾸준한 사랑을 받고 있는 아동 만화책이다. 개성만점의 주인공들, 3D그래픽을 사용한 입체적이고 풍부한 색감의 그림이 돋보인다.",,1081,BOOK
2015 선재국어 기출실록 - 전3권 - 7.9급 공무원 시험대비,이선재 (지은이),34613,국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>국어>기출/문제집/모의고사,9788918513201,"방대한 양의 기출문제를 단원별로 분류한 뒤, 유형별로 다시 나누었다. 각각의 유형별 문제는 최신 문제가 위로 오도록 역순으로 배치되어 있다. 따라서 문제를 풀다보면 자연스럽게 최신의 기출 경향을 유형별로 쉽게 파악할 수 있다.",,2408,BOOK
투러브 트러블 다크니스 11,"하세미 사키 (지은이), 야부키 켄타로 (그림)",4134,국내도서>만화>본격장르만화>판타지>드라마틱 판타지,9788926344200,"메아의 마스터가 발동한 수수께끼의 '다크니스 계획'이 드디어 본격적으로 움직이기 시작한다. 리토의 여동생 미캉에게 마수가 뻗치고, 미캉을 구하려는 어둠이 큰 위험에…?! 한편 모모의 '하렘 계획'도 차근차근 진행돼서 리토는 쉴 틈이 없는데…",,892,BOOK
